"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
企业数:工业:辽宁:铁岭市,个,795,370883.6667,609.0021894,0.534927783,-1.379486599,0.76604049,205,1848,631,19,,217.00,205.00,225.00,226.00,262.00,350.00,723.00,923.00,1170.00,1242.00,1695.00,1848.00,1695.00,1596.00,1301.00,631.00,328.00,240.00,228.00,
企业数:工业:辽宁:朝阳市,个,503.4210526,89969.70175,299.9494987,0.974036382,0.31937887,0.595822318,200,1222,445,19,,253.00,257.00,216.00,200.00,236.00,237.00,404.00,479.00,581.00,617.00,1040.00,1222.00,645.00,720.00,817.00,708.00,445.00,240.00,248.00,
企业数:工业:辽宁:葫芦岛市,个,281.7894737,16001.06433,126.4953135,1.168974707,0.963986016,0.448900066,157,570,235,19,,162.00,182.00,158.00,164.00,157.00,157.00,214.00,234.00,327.00,326.00,567.00,570.00,340.00,326.00,391.00,341.00,292.00,211.00,235.00,
企业数:工业:吉林:长春市,个,1034.631579,155839.5789,394.76522,0.158517336,-1.374044531,0.38155149,552,1641,1035,19,,583.00,577.00,572.00,570.00,552.00,580.00,814.00,952.00,1020.00,1395.00,1519.00,1606.00,1035.00,1081.00,1109.00,1132.00,1340.00,1580.00,1641.00,
企业数:工业:吉林:吉林市,个,816.1578947,96392.80702,310.4719102,-0.164626151,-2.048263049,0.380406674,441,1180,1022,19,,496.00,479.00,470.00,508.00,441.00,457.00,449.00,516.00,739.00,1022.00,1180.00,1177.00,1103.00,1121.00,1097.00,1041.00,1073.00,1062.00,1076.00,
企业数:工业:吉林:四平市,个,421.1578947,15020.14035,122.5566822,0.044963282,-1.666186465,0.29099937,263,601,450,19,,334.00,327.00,328.00,308.00,263.00,277.00,264.00,274.00,352.00,450.00,501.00,557.00,506.00,502.00,503.00,492.00,564.00,599.00,601.00,
企业数:工业:吉林:辽源市,个,258.1052632,5108.877193,71.47641005,-0.354637427,-1.643142951,0.276927364,155,351,304,19,,155.00,164.00,175.00,168.00,160.00,180.00,205.00,250.00,266.00,310.00,350.00,351.00,313.00,304.00,313.00,305.00,316.00,314.00,305.00,
企业数:工业:吉林:通化市,个,437.5263158,21851.15205,147.8213518,-0.268407278,-1.65000447,0.337857053,215,618,498,19,,345.00,331.00,268.00,229.00,215.00,235.00,282.00,335.00,430.00,529.00,614.00,604.00,498.00,532.00,552.00,549.00,596.00,618.00,551.00,
企业数:工业:吉林:白山市,个,294.8947368,13880.32164,117.8147768,-0.315894736,-1.714163358,0.399514681,130,448,349,19,,147.00,150.00,140.00,144.00,130.00,164.00,209.00,275.00,296.00,349.00,412.00,448.00,407.00,418.00,412.00,392.00,382.00,368.00,360.00,
企业数:工业:吉林:松原市,个,385.6315789,50215.69006,224.0885764,-0.159353215,-2.004055887,0.581094984,113,642,460,19,,125.00,128.00,118.00,113.00,120.00,157.00,157.00,234.00,323.00,460.00,587.00,642.00,561.00,560.00,604.00,612.00,615.00,620.00,591.00,
企业数:工业:吉林:白城市,个,248.1052632,4831.432749,69.50850846,-0.04240812,-1.74433614,0.280157332,152,349,262,19,,216.00,206.00,176.00,190.00,152.00,165.00,157.00,172.00,195.00,262.00,291.00,315.00,279.00,304.00,308.00,321.00,321.00,335.00,349.00,
企业数:工业:黑龙江:哈尔滨市,个,1062.631579,77816.80117,278.9566295,0.168670038,-1.944369317,0.262514906,764,1436,969,19,,804.00,792.00,769.00,766.00,764.00,765.00,814.00,809.00,969.00,1373.00,1436.00,1433.00,901.00,1148.00,1331.00,1388.00,1365.00,1315.00,1248.00,
企业数:工业:黑龙江:齐齐哈尔市,个,311.8421053,2162.140351,46.49882096,0.603548402,-0.636514408,0.149110143,255,411,302,19,,327.00,269.00,255.00,271.00,270.00,274.00,257.00,273.00,302.00,324.00,331.00,411.00,274.00,302.00,326.00,341.00,369.00,382.00,367.00,
企业数:工业:黑龙江:鸡西市,个,173.1052632,2436.099415,49.35685783,0.073533191,-1.312204288,0.285126269,110,254,180,19,,254.00,247.00,237.00,224.00,184.00,164.00,179.00,197.00,180.00,201.00,189.00,209.00,113.00,122.00,112.00,114.00,116.00,110.00,137.00,
企业数:工业:黑龙江:鹤岗市,个,103.6842105,1126.116959,33.55766617,0.421494059,-0.425050001,0.323652618,51,173,99,19,,85.00,78.00,60.00,63.00,51.00,86.00,72.00,105.00,112.00,128.00,145.00,173.00,113.00,143.00,155.00,99.00,99.00,94.00,109.00,
企业数:工业:黑龙江:双鸭山市,个,157.6842105,1157.450292,34.02132114,0.249337672,-1.235534239,0.215756042,108,212,149,19,,141.00,108.00,195.00,149.00,149.00,150.00,153.00,116.00,113.00,201.00,212.00,195.00,170.00,193.00,209.00,149.00,122.00,127.00,144.00,
企业数:工业:黑龙江:大庆市,个,395.5789474,19841.36842,140.8593924,0.539818143,0.398702395,0.356084148,193,723,415,19,,193.00,209.00,216.00,224.00,287.00,299.00,436.00,427.00,433.00,551.00,723.00,630.00,415.00,413.00,442.00,452.00,391.00,356.00,419.00,
企业数:工业:黑龙江:伊春市,个,119.4210526,640.8128655,25.31428185,0.989716913,0.480530799,0.211975035,87,182,112,19,,113.00,97.00,87.00,104.00,102.00,102.00,136.00,133.00,142.00,157.00,153.00,182.00,105.00,112.00,126.00,120.00,109.00,92.00,97.00,
企业数:工业:黑龙江:佳木斯市,个,257,3110.555556,55.77235476,0.784574889,-0.764234081,0.217013054,197,365,222,19,,222.00,219.00,217.00,210.00,207.00,197.00,202.00,222.00,214.00,232.00,277.00,321.00,280.00,306.00,365.00,363.00,322.00,286.00,221.00,
企业数:工业:黑龙江:七台河市,个,87.47368421,520.0409357,22.80440606,0.599043542,-0.422074688,0.26070019,54,137,83,19,,70.00,61.00,54.00,65.00,70.00,70.00,79.00,80.00,89.00,95.00,120.00,137.00,117.00,114.00,106.00,95.00,90.00,67.00,83.00,
企业数:工业:黑龙江:牡丹江市,个,383.8421053,6948.695906,83.3588382,0.134521108,-1.593906022,0.217169605,251,514,338,19,,336.00,331.00,315.00,315.00,295.00,299.00,302.00,333.00,338.00,446.00,473.00,514.00,407.00,441.00,483.00,484.00,485.00,445.00,251.00,
企业数:工业:黑龙江:黑河市,个,122.5789474,2264.368421,47.58538033,1.40125985,1.10462606,0.3882019,73,240,99,19,,191.00,217.00,240.00,125.00,125.00,95.00,86.00,87.00,89.00,116.00,148.00,158.00,73.00,85.00,93.00,92.00,99.00,99.00,111.00,
企业数:工业:黑龙江:绥化市,个,238.1111111,7340.69281,85.67784317,0.973487541,-0.821215082,0.359822953,158,396,193,18,,,192.00,168.00,166.00,158.00,171.00,189.00,186.00,180.00,184.00,194.00,202.00,202.00,267.00,396.00,366.00,378.00,373.00,314.00,
企业数:工业:上海,个,11791.5,12326081.53,3510.851966,0.817346766,-0.901615684,0.297744304,8122,18792,9872,20,9320.00,9323.00,8574.00,9762.00,10057.00,11098.00,15766.00,14809.00,14404.00,15099.00,18792.00,17906.00,16684.00,9962.00,9772.00,9782.00,9253.00,8994.00,8351.00,8122.00,
企业数:工业:江苏:南京市,个,2407.631579,319094.1345,564.884178,1.359909095,1.971386813,0.23462235,1797,3917,2344,19,,1834.00,1797.00,1807.00,1947.00,2064.00,2165.00,2344.00,1889.00,2094.00,2194.00,3520.00,3917.00,2508.00,2593.00,2601.00,2748.00,2714.00,2661.00,2348.00,
企业数:工业:江苏:无锡市,个,4856.105263,1761793.099,1327.325544,0.468432625,0.917278387,0.273331296,2702,7988,4988,19,,2702.00,2892.00,3123.00,3340.00,3925.00,4543.00,4628.00,4962.00,5333.00,5564.00,7225.00,7988.00,5241.00,5248.00,5255.00,5163.00,4988.00,4888.00,5258.00,
企业数:工业:江苏:徐州市,个,1987.263158,1013942.649,1006.947193,-0.20748754,-1.718873013,0.506700478,634,3412,2289,19,,634.00,675.00,662.00,743.00,835.00,959.00,1253.00,1586.00,1941.00,2289.00,3108.00,3412.00,2788.00,2859.00,2874.00,2861.00,2875.00,2992.00,2412.00,
企业数:工业:江苏:常州市,个,3868.947368,1609790.942,1268.775371,0.458963365,0.139216316,0.327938131,2054,6493,3887,19,,2054.00,2059.00,2185.00,2474.00,2804.00,3161.00,3593.00,4223.00,4768.00,4954.00,6493.00,6375.00,3638.00,3869.00,3887.00,4350.00,4244.00,4139.00,4240.00,
企业数:工业:江苏:苏州市,个,8126.789474,11325350.06,3365.315745,-0.145693881,-1.041858294,0.414101504,3002,13720,9616,19,,3002.00,3112.00,3735.00,4112.00,4553.00,5044.00,6743.00,7485.00,8632.00,9959.00,13720.00,13538.00,9904.00,10444.00,10476.00,10432.00,10062.00,9616.00,9840.00,
企业数:工业:江苏:南通市,个,4248.210526,3370150.064,1835.796847,0.010359222,-0.757416023,0.432134151,1641,7589,4941,19,,1654.00,1641.00,1775.00,1933.00,2211.00,2715.00,3473.00,4217.00,5111.00,5844.00,7387.00,7589.00,4912.00,4941.00,4964.00,5081.00,5066.00,5071.00,5131.00,
企业数:工业:江苏:连云港市,个,1148.263158,194805.7602,441.3680553,-0.015192161,-1.595363541,0.384378835,486,1815,1262,19,,780.00,784.00,727.00,694.00,486.00,552.00,677.00,838.00,1039.00,1262.00,1591.00,1648.00,1263.00,1388.00,1419.00,1649.00,1701.00,1815.00,1504.00,
企业数:工业:江苏:淮安市,个,1543.75,540352.9342,735.0870249,0.070572705,-1.482704407,0.476169733,534,2647,1478,20,,534.00,554.00,620.00,707.00,794.00,885.00,1079.00,1350.00,1461.00,1116.00,1746.00,2399.00,1495.00,1941.00,2097.00,2474.00,2647.00,2609.00,2175.00,2192.00
企业数:工业:江苏:盐城市,个,2434.842105,743118.1404,862.0430038,-0.361013836,-1.094290981,0.354044725,1050,3827,2816,19,,1050.00,1149.00,1181.00,1308.00,1518.00,1795.00,2085.00,2513.00,2844.00,2910.00,3564.00,3827.00,2590.00,2816.00,2890.00,3002.00,3156.00,3185.00,2879.00,
企业数:工业:江苏:扬州市,个,2361.947368,640612.6082,800.3827885,0.09704266,-0.619225983,0.338865632,1223,3847,2584,19,,1257.00,1223.00,1264.00,1341.00,1535.00,1773.00,2045.00,2252.00,2682.00,3023.00,3785.00,3847.00,2584.00,2560.00,2589.00,2799.00,2774.00,2686.00,2858.00,
企业数:工业:江苏:镇江市,个,2101.9,422400.7263,649.9236311,-0.022163281,-1.213039508,0.309207684,1145,3125,2109.5,20,,1197.00,1145.00,1232.00,1289.00,1412.00,1531.00,1773.00,1961.00,2210.00,2504.00,3064.00,3125.00,2173.00,2446.00,2470.00,2938.00,2843.00,2635.00,2046.00,2044.00
企业数:工业:江苏:泰州市,个,2258.947368,855501.386,924.9331792,-0.062720818,-0.884558675,0.409453178,936,4012,2531,19,,972.00,936.00,971.00,1083.00,1209.00,1492.00,1905.00,2190.00,2588.00,2849.00,3566.00,4012.00,2489.00,2531.00,2541.00,2709.00,2867.00,3018.00,2992.00,
企业数:工业:江苏:宿迁市,个,1420.736842,771463.8713,878.3301608,0.088235643,-1.785212547,0.61822157,331,2599,1347,19,,331.00,360.00,423.00,522.00,549.00,516.00,631.00,856.00,1133.00,1347.00,2058.00,2471.00,1795.00,2236.00,2338.00,2517.00,2565.00,2599.00,1747.00,
企业数:工业:浙江:杭州市,个,6251.894737,5394076.544,2322.515133,0.292325576,-0.492364844,0.371489801,2474,10370,5927,19,,2474.00,2715.00,3580.00,4015.00,4689.00,5607.00,7359.00,7826.00,8674.00,9907.00,10032.00,10370.00,5868.00,5927.00,6284.00,6169.00,6073.00,5684.00,5533.00,
企业数:工业:浙江:宁波市,个,7372.684211,9598450.228,3098.136574,0.170557632,-0.807090283,0.420218266,2498,12491,7286,19,,2498.00,2803.00,3530.00,4060.00,4672.00,5927.00,8788.00,9873.00,11017.00,12098.00,12059.00,12491.00,6616.00,6804.00,7167.00,7383.00,7509.00,7286.00,7500.00,
企业数:工业:浙江:温州市,个,4881.052632,2943737.386,1715.732318,0.166250832,-0.097487127,0.35150867,1740,8096,4871,19,,1740.00,2105.00,3005.00,3685.00,3824.00,5400.00,5226.00,5757.00,6480.00,7451.00,7636.00,8096.00,4161.00,4290.00,4521.00,4897.00,5013.00,4871.00,4582.00,
