"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
企业数:工业:甘肃:平凉市,个,108.9375,1541.529167,39.26231229,0.777593221,-0.559441285,0.360411358,66,179,101,16,,,,,179.00,179.00,171.00,70.00,70.00,80.00,80.00,90.00,90.00,70.00,112.00,126.00,121.00,119.00,120.00,66.00,
企业数:工业:甘肃:酒泉市,个,233.125,3688.916667,60.73645254,-0.414341145,-1.20716357,0.2605317,134,319,248,16,,,,,319.00,255.00,290.00,134.00,135.00,155.00,189.00,232.00,275.00,180.00,241.00,277.00,292.00,296.00,267.00,193.00,
企业数:工业:甘肃:庆阳市,个,112,4032.533333,63.50223093,1.369926173,0.54137324,0.566984205,53,243,93,16,,,,,228.00,228.00,243.00,64.00,64.00,67.00,68.00,68.00,74.00,53.00,84.00,102.00,111.00,112.00,120.00,106.00,
企业数:工业:甘肃:定西市,个,105.4666667,2089.695238,45.71318451,0.13645363,-1.741563759,0.433437274,49,170,82,15,,,,,,168.00,170.00,51.00,51.00,58.00,82.00,81.00,81.00,49.00,80.00,121.00,142.00,155.00,149.00,144.00,
企业数:工业:甘肃:陇南市,个,95.85714286,524.7472527,22.90736241,0.495340238,0.352907767,0.238973975,59,146,96,14,,,,,,,146.00,101.00,101.00,113.00,119.00,115.00,102.00,59.00,74.00,84.00,89.00,91.00,77.00,71.00,
企业数:工业:青海:西宁市,个,194.8421053,2739.362573,52.33892025,0.013603478,-1.228878635,0.268622227,115,280,194,19,,139.00,142.00,120.00,115.00,129.00,163.00,164.00,176.00,194.00,218.00,231.00,239.00,188.00,199.00,229.00,248.00,257.00,280.00,271.00,
企业数:工业:宁夏:银川市,个,300.1578947,13778.69591,117.38269,0.038025208,-1.196687511,0.391069807,130,484,283,19,,156.00,135.00,130.00,155.00,173.00,226.00,256.00,283.00,282.00,336.00,370.00,355.00,277.00,326.00,389.00,447.00,484.00,462.00,461.00,
企业数:工业:宁夏:石嘴山市,个,199.6315789,6430.578947,80.19089068,-0.620419533,-0.881249643,0.401694417,74,303,224,19,,89.00,76.00,74.00,76.00,79.00,214.00,204.00,233.00,238.00,303.00,303.00,301.00,224.00,232.00,262.00,232.00,233.00,199.00,221.00,
企业数:工业:宁夏:吴忠市,个,220,7587.333333,87.10530026,0.794692048,-0.840230348,0.395933183,117,386,190,19,,386.00,210.00,212.00,158.00,157.00,117.00,177.00,133.00,126.00,156.00,170.00,195.00,170.00,190.00,255.00,320.00,351.00,340.00,357.00,
企业数:工业:宁夏:固原市,个,59.25,5165.4,71.87071726,2.555552072,5.829427854,1.213007886,20,274,30.5,16,,,,,202.00,274.00,27.00,28.00,32.00,20.00,25.00,29.00,29.00,20.00,25.00,34.00,46.00,55.00,52.00,50.00,
企业数:工业:宁夏:中卫市,个,95.21428571,485.2582418,22.02857784,0.332287687,-0.919495377,0.231357907,60,133,91,14,,,,,,,60.00,75.00,80.00,79.00,89.00,91.00,94.00,73.00,91.00,103.00,124.00,121.00,120.00,133.00,
企业数:工业:新疆:乌鲁木齐市,个,366.8947368,3477.321637,58.9688192,0.261557359,-1.008148037,0.16072408,288,472,370,19,,406.00,311.00,295.00,288.00,316.00,301.00,320.00,292.00,362.00,438.00,429.00,466.00,472.00,370.00,389.00,391.00,396.00,370.00,359.00,
企业数:工业:新疆:克拉玛依市,个,79,242.3333333,15.56705924,0.192771801,-1.477762754,0.197051383,56,102,76,19,,59.00,56.00,70.00,61.00,63.00,76.00,73.00,70.00,77.00,97.00,97.00,101.00,98.00,66.00,70.00,80.00,94.00,91.00,102.00,
