"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
商品房销售面积:吉林:白山市,千平方米,511.6352941,126268.6312,355.3429768,0.998400929,0.493024096,0.694523972,71,1339,474,17,,,,,,,,,,,,,127.00,229.00,71.00,277.30,263.00,315.40,633.90,739.80,1130.00,1339.00,474.00,895.00,327.30,183.70,632.20,485.20,575.00
商品房销售面积:吉林:松原市,千平方米,650.00625,248898.0273,498.8968103,0.496011025,-0.714943665,0.767526174,35,1651,635.05,16,,,,,,,,,,,,,63.00,147.00,35.00,83.20,334.00,746.30,988.60,1209.70,1651.00,1364.00,720.00,1051.00,775.70,550.10,389.80,291.70,
商品房销售面积:吉林:白城市,千平方米,180.9125,11365.08117,106.6071347,-0.009839361,-0.048805459,0.589274565,4,403,203.45,16,,,,,,,,,,,,,158.00,132.00,4.00,29.90,28.00,188.90,252.20,222.90,270.00,234.00,218.00,403.00,89.70,148.30,242.20,273.50,
商品房销售面积:黑龙江:哈尔滨市,千平方米,7414.2386,12119724.52,3481.339472,0.017617811,-1.071324625,0.469547807,1604.625,13479.692,7271.1395,20,,,,,,,,,,1604.63,2697.76,3193.16,3491.03,3907.78,4594.18,5774.16,6744.08,7489.50,5870.76,7052.78,8817.49,9564.15,11683.25,13479.69,10213.51,8760.42,10433.76,12484.69,10428.00
商品房销售面积:黑龙江:齐齐哈尔市,千平方米,1911.980118,339542.4902,582.702746,0.402217615,-0.774959415,0.30476402,929,2905.389,1661.948,17,,,,,,,,,,,,,929.00,1280.00,1584.00,1576.00,1511.00,1614.00,1542.10,1836.20,2414.00,2812.84,2823.47,2905.39,2251.01,2097.72,2249.98,1661.95,1415.00
商品房销售面积:黑龙江:鸡西市,千平方米,444.9592941,76158.39423,275.9681036,1.006762267,1.248461366,0.620209775,58,1141.914,408.4,17,,,,,,,,,,,,,58.00,99.00,186.00,267.90,311.80,408.40,307.60,435.30,610.00,853.81,1141.91,639.77,673.35,320.86,434.77,517.84,298.00
商品房销售面积:黑龙江:鹤岗市,千平方米,339.0925,33859.95477,184.0107463,0.942800035,0.919447455,0.542656491,107.409,796,280.5525,16,,,,,,,,,,,,,261.00,280.00,276.00,428.90,480.50,481.20,340.90,530.10,796.00,491.65,281.11,177.44,153.74,206.38,107.41,133.16,
商品房销售面积:黑龙江:双鸭山市,千平方米,400.021,51752.39002,227.4915164,1.725140654,4.161885189,0.568698934,116,1071.164,378,17,,,,,,,,,,,,,116.00,129.00,299.00,293.30,217.40,467.90,389.90,256.20,378.00,738.37,1071.16,392.67,369.65,285.39,437.07,478.35,481.00
商品房销售面积:黑龙江:大庆市,千平方米,2526.565,2560083.982,1600.026244,0.684205125,-0.045868356,0.633281251,395,5941.09,2379.855,17,,,,,,,,,,,,,395.00,624.00,633.00,1052.20,2005.00,2308.20,2412.00,3153.80,3053.00,4387.07,5263.11,5941.09,3660.39,2636.39,2379.86,1742.50,1305.00
商品房销售面积:黑龙江:伊春市,千平方米,327.6277647,39870.27691,199.6754289,1.22743146,0.569074601,0.609458204,144.307,772,240.707,17,,,,,,,,,,,,,317.00,240.00,267.00,346.80,160.30,181.30,191.20,470.70,772.00,736.24,498.50,492.40,240.71,201.99,156.23,144.31,153.00
商品房销售面积:黑龙江:佳木斯市,千平方米,1124.827875,612324.4399,782.5116228,1.375018959,1.492245166,0.695672325,370.9,3103.475,880.0735,16,,,,,,,,,,,,,395.00,482.00,416.00,370.90,522.50,795.60,918.50,1429.60,2404.00,3103.48,1623.14,1869.31,1068.63,916.28,838.45,843.87,
商品房销售面积:黑龙江:七台河市,千平方米,318.1368125,20761.1561,144.0873211,0.063468539,-0.672465922,0.452909929,90.342,590,329.253,16,,,,,,,,,,,,,232.00,310.00,238.00,381.90,590.00,513.50,388.00,443.60,393.00,424.18,348.51,298.31,142.12,116.25,90.34,180.48,
商品房销售面积:黑龙江:牡丹江市,千平方米,1446.671529,578200.0163,760.3946451,0.284215637,-0.8869143,0.525616651,419,2891.684,1566.581,17,,,,,,,,,,,,,467.00,419.00,818.00,534.80,609.00,1053.40,976.00,1633.70,2462.00,2332.47,2350.28,2891.68,1598.15,1566.58,1494.78,1608.57,1778.00
商品房销售面积:黑龙江:黑河市,千平方米,527.1078235,209909.2282,458.1585186,0.797287323,-0.096585504,0.869193167,46,1541.463,589.792,17,,,,,,,,,,,,,48.00,46.00,65.00,56.20,170.60,134.80,164.90,412.20,713.00,1169.67,1541.46,1221.26,589.79,708.85,637.76,683.34,598.00
