,单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
财政收入:辽宁:丹东市,百万人民币,6467.669375,17753203.6,4213.455067,0.378342862,-1.029177143,0.651464202,1137.12,13636.3,6741.685,16,,,,,,,,,,,,,,,,,,,,,,,,,,1137.12,1330.73,1681.63,2188.92,2887.27,3756.87,5013.52,8023.59,10332.12,12797.33,13636.30,12600.05,6634.24,6849.13,7273.89,7340.00
财政收入:辽宁:锦州市,百万人民币,6975.001875,20419946.14,4518.843452,0.137320049,-1.444859682,0.647862686,1368.59,13684.62,7829.455,16,,,,,,,,,,,,,,,,,,,,,,,,,,1368.59,1430.36,1726.07,2062.19,2597.13,3506.74,4800.88,8107.03,10366.81,13150.31,13609.02,13684.62,7551.88,8481.18,9127.22,10030.00
财政收入:辽宁:营口市,百万人民币,8723.523125,36863046.33,6071.494571,0.100242201,-1.475249472,0.695991113,1074.37,18425.45,10208.76,16,,,,,,,,,,,,,,,,,,,,,,,,,,1074.37,1258.86,1635.25,2047.61,2904.05,4000.52,5714.65,10010.63,14024.05,17021.83,18425.45,16035.85,10406.89,10518.31,11368.05,13130.00
财政收入:辽宁:阜新市,百万人民币,3197.280625,5317365.796,2305.941412,0.489504023,-1.018890973,0.721219587,558.22,7121.44,3295.47,16,,,,,,,,,,,,,,,,,,,,,,,,,,558.22,625.05,743.31,896.84,1099.61,1461.31,1859.78,3007.00,5014.31,6402.99,7049.70,7121.44,3715.24,3583.94,3817.75,4200.00
财政收入:辽宁:辽阳市,百万人民币,6237.949375,13932260.88,3732.59439,-0.013400533,-1.550994829,0.598368817,1169.3,11480,6922.98,16,,,,,,,,,,,,,,,,,,,,,,,,,,1169.30,1403.23,1743.36,2190.76,2808.46,3540.64,4797.46,7648.08,10016.88,11021.46,11132.22,11480.00,6768.47,7077.49,8069.38,8940.00
财政收入:辽宁:盘锦市,百万人民币,7963.295625,26477434.85,5145.622882,0.065168862,-1.759362972,0.646167507,1698.33,15117.76,8781.665,16,,,,,,,,,,,,,,,,,,,,,,,,,,1698.33,1849.51,2153.68,2594.93,2968.71,3491.16,4343.22,8058.69,11228.44,14022.23,14876.70,15117.76,9504.64,10048.31,11886.42,13570.00
财政收入:辽宁:铁岭市,百万人民币,5308.704,13884442.16,3726.183323,0.444577067,-1.289177169,0.701900751,960.23,11461.66,4798.51,15,,,,,,,,,,,,,,,,,,,,,,,,,,960.23,1086.78,1278.70,1630.88,2304.58,3309.00,4798.51,8008.29,10502.48,11461.66,10363.79,9339.17,5028.48,4643.09,4914.92,
财政收入:辽宁:朝阳市,百万人民币,5276.6275,12981266.18,3602.952425,0.293496369,-1.130340915,0.682813487,626.33,11248.85,5287.69,16,,,,,,,,,,,,,,,,,,,,,,,,,,626.33,795.29,1093.51,1489.05,2179.56,3178.63,4214.94,6625.04,8692.36,10708.57,11248.85,10170.21,5473.34,5102.04,5788.32,7040.00
财政收入:辽宁:葫芦岛市,百万人民币,5060.175,7762928.772,2786.20329,-0.086378088,-1.688138293,0.550614018,1332.13,8837.56,5653.92,16,,,,,,,,,,,,,,,,,,,,,,,,,,1332.13,1464.95,1719.00,1795.33,2464.94,3140.30,3731.06,5594.23,7030.54,8397.78,8837.56,8160.00,5713.61,6071.38,7279.99,8230.00
财政收入:吉林:长春市,百万人民币,24409.22188,262447725.3,16200.23843,0.068282096,-1.839514742,0.663693358,4597.09,47800,23473.865,16,,,,,,,,,,,,,,,,,,,,,,,,,,4597.09,5069.23,6103.38,7159.08,9329.51,11903.15,14265.06,18084.61,28863.12,34080.21,38181.78,39732.49,38822.13,41548.53,45008.18,47800.00
财政收入:吉林:吉林市,百万人民币,7876.304667,22078253.04,4698.750157,-0.010020349,-1.749814648,0.596567852,1673.96,13997.04,7319.26,15,,,,,,,,,,,,,,,,,,,,,,,,,,1673.96,1973.01,2353.65,2766.93,4084.08,5333.13,6099.55,7319.26,10195.25,11902.95,13997.04,13118.55,13284.29,13555.97,10486.95,
财政收入:吉林:四平市,百万人民币,3714.735333,4499293.187,2121.15374,-0.133692912,-1.562563899,0.571010731,719.3,6344.45,3751.22,15,,,,,,,,,,,,,,,,,,,,,,,,,,827.00,725.95,719.30,2266.78,2880.76,3751.22,2135.78,2790.49,3888.55,5657.65,6055.60,5785.26,6228.49,6344.45,5663.75,
财政收入:吉林:辽源市,百万人民币,1559.545333,815824.4862,903.2300295,-0.113374723,-1.514606287,0.579162407,311.8,2811.79,1706.23,15,,,,,,,,,,,,,,,,,,,,,,,,,,326.46,311.80,394.65,634.51,836.33,1167.44,1442.53,1706.23,1886.44,2386.70,2550.80,2682.11,2811.79,2420.97,1834.42,
财政收入:吉林:通化市,百万人民币,4187.360667,8832406.204,2971.93644,0.227302525,-1.744080765,0.70973978,694.67,8371.9,3402.35,15,,,,,,,,,,,,,,,,,,,,,,,,,,694.67,792.72,920.75,1331.69,1618.17,2142.50,2600.58,3402.35,4813.45,6443.11,7399.61,8371.90,7812.64,8278.09,6188.18,
财政收入:吉林:白山市,百万人民币,2525.88625,2692027.378,1640.739888,0.086763379,-1.610708983,0.649569983,389.59,4702.52,2399.54,16,,,,,,,,,,,,,,,,,,,,,,,,,,389.59,422.53,538.96,780.66,1096.70,1558.68,1977.69,2527.08,3553.08,4363.04,4631.80,4425.13,4479.65,4702.52,2695.07,2272.00
财政收入:吉林:松原市,百万人民币,3499.758667,3848969.156,1961.878986,0.007017229,-1.507569125,0.560575506,809.83,6250.7,3097.19,15,,,,,,,,,,,,,,,,,,,,,,,,,,809.83,809.91,1117.83,1707.20,2101.19,2874.00,2582.89,3097.19,4267.42,5800.14,6200.00,6250.70,5020.83,5070.79,4786.46,
财政收入:吉林:白城市,百万人民币,2193.461333,2375178.197,1541.161314,0.227835094,-1.847015576,0.702616131,410.52,4204,1801.31,15,,,,,,,,,,,,,,,,,,,,,,,,,,544.60,410.52,512.40,674.37,836.09,1090.65,1263.46,1801.31,2457.26,3102.87,3696.09,4139.52,4018.09,4204.00,4150.69,
财政收入:黑龙江:哈尔滨市,百万人民币,25832.24,171734710.1,13104.75906,-0.120811189,-1.83502021,0.507302466,7636,42352.03,26923.09,16,,,,,,,,,,,,,,,,,,,,,,,,,,7636.00,9559.82,9803.70,11829.34,13204.95,16400.56,19335.98,23814.28,30031.90,35471.60,40228.08,42352.03,40773.28,37623.84,36810.48,38440.00
财政收入:黑龙江:齐齐哈尔市,百万人民币,4891.434375,8025638.583,2832.955803,0.008342998,-1.567156114,0.579166679,1270.22,9606.51,5318.745,16,,,,,,,,,,,,,,,,,,,,,,,,,,1270.22,1388.21,1580.81,1627.84,2067.87,2797.09,3453.36,5136.09,7007.53,5501.40,6443.33,9606.51,7897.12,7635.19,7360.38,7490.00
财政收入:黑龙江:鸡西市,百万人民币,2469.625,1987220.762,1409.688179,-0.20101387,-1.706012806,0.570810621,519.29,4327.4,2970.91,16,,,,,,,,,,,,,,,,,,,,,,,,,,519.29,529.94,711.87,962.78,1096.50,1481.44,1838.23,2597.69,3522.86,4327.40,3344.13,4293.07,3454.30,3633.72,3790.78,3410.00
财政收入:黑龙江:鹤岗市,百万人民币,1388.066667,576060.5482,758.986527,0.12927668,-1.196542803,0.546794001,332.98,2714.48,1548.64,15,,,,,,,,,,,,,,,,,,,,,,,,,,332.98,362.90,566.08,703.53,777.55,933.14,1174.67,1548.64,2218.42,2714.48,2048.99,1680.62,1558.67,1887.01,2313.32,
财政收入:黑龙江:双鸭山市,百万人民币,1758.944375,953880.4019,976.6680101,-0.27537576,-1.383236982,0.555258042,309.83,3216.37,1966.195,16,,,,,,,,,,,,,,,,,,,,,,,,,,309.83,332.50,511.21,650.83,844.68,1243.63,1781.23,2405.32,2685.00,3216.37,2899.27,1845.69,2370.97,2086.70,2309.88,2650.00
