"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
商品房销售额:住宅:江苏:无锡市,百万人民币,41749.33333,370441606.5,19246.85965,-0.072641266,-2.095298789,0.461009988,17634,65665,43061,9,,,,,,,,,,,,,,,17634.00,20407.00,29671.00,23288.00,57132.00,65665.00,43061.00,60736.00,58150.00,,,,,
商品房销售额:住宅:江苏:徐州市,百万人民币,28883.07692,554072970.9,23538.75466,0.941260119,0.203369653,0.814967004,4343,78895,24618,13,,,,,,,,,,,,,,,4343.00,5026.00,7046.00,6747.00,15316.00,19762.00,24618.00,29299.00,38830.00,,34257.00,46702.00,64639.00,78895.00
商品房销售额:住宅:江苏:常州市,百万人民币,30549.11111,212460094.6,14576.01093,-0.018824474,-1.935802077,0.477133717,12281,50590,35692,9,,,,,,,,,,,,,,,12281.00,14868.00,19369.00,17494.00,35692.00,44451.00,36866.00,43331.00,50590.00,,,,,
商品房销售额:住宅:江苏:苏州市,百万人民币,89407.11111,1490241194,38603.64224,0.302841963,-0.792118564,0.431773734,41654,154840,88794,9,,,,,,,,,,,,,,,41654.00,52695.00,82787.00,45938.00,127375.00,97153.00,88794.00,113428.00,154840.00,,,,,
商品房销售额:住宅:江苏:南通市,百万人民币,24110.77778,193163693.4,13898.3342,0.476312084,-0.463500914,0.576436576,6471,49330,24984,9,,,,,,,,,,,,,,,6471.00,11968.00,15599.00,11337.00,24984.00,31169.00,31660.00,34479.00,49330.00,,,,,
商品房销售额:住宅:江苏:连云港市,百万人民币,12563.8,89016731.96,9434.867882,1.397726361,2.659149311,0.750956548,2423,34497,12668,10,,,,,,,,,,,,,,,2423.00,3498.00,5771.00,6178.00,12338.00,12998.00,13776.00,15399.00,18760.00,,,,34497.00,
商品房销售额:住宅:江苏:淮安市,百万人民币,16673.4,156095930.3,12493.83569,0.583984697,-0.616738023,0.749327413,2501,39632,16350,10,,,,,,,,,,,,,,,2501.00,3479.00,6911.00,6021.00,13293.00,19407.00,20141.00,24429.00,30920.00,,,,39632.00,
商品房销售额:住宅:江苏:盐城市,百万人民币,21177.69231,247571590.7,15734.40786,0.674027614,-0.553300008,0.742970841,2682,49700,19409,13,,,,,,,,,,,,,,,2682.00,4589.00,5963.00,6259.00,12250.00,16969.00,19789.00,19409.00,26050.00,,28430.00,35600.00,47620.00,49700.00
商品房销售额:住宅:江苏:扬州市,百万人民币,20686.44444,142928467.3,11955.26944,0.317509571,-1.489220157,0.577927709,7479,39860,19858,9,,,,,,,,,,,,,,,7479.00,8741.00,12368.00,9017.00,19858.00,27250.00,29243.00,32362.00,39860.00,,,,,
商品房销售额:住宅:江苏:镇江市,百万人民币,24219.57143,320967327.2,17915.56103,0.815055897,-0.422528103,0.739714205,4288,58470,18517,14,,,,,,,,,,,,,,,4288.00,5504.00,8115.00,6419.00,16606.00,15494.00,16248.00,20428.00,32050.00,26920.00,28165.00,58470.00,54138.00,46229.00
商品房销售额:住宅:江苏:泰州市,百万人民币,17479.25,100687065.3,10034.29446,0.251804258,-0.846769763,0.574068937,3825,35933,18274,12,,,,,,,,,,,,,,,3825.00,5547.00,7653.00,8664.00,12965.00,20808.00,21842.00,15740.00,26414.00,22732.00,27628.00,35933.00,,
商品房销售额:住宅:江苏:宿迁市,百万人民币,10126.44444,54039674.28,7351.168225,1.100944205,1.290591228,0.725937743,2371,25504,9418,9,,,,,,,,,,,,,,,2371.00,2991.00,5052.00,5451.00,9418.00,12574.00,12798.00,14979.00,25504.00,,,,,
商品房销售额:住宅:浙江:杭州市,百万人民币,93965.815,9357277575,96733.02216,1.385009726,1.296821068,1.029449084,7926.08,322575.49,65879.085,18,,,,,,,,,,7926.08,8274.42,12116.86,17228.48,19788.00,33849.83,40576.09,77563.08,55590.79,139495.54,113729.40,76167.38,122317.37,14220.00,133491.30,190513.80,305960.76,322575.49,
商品房销售额:住宅:浙江:宁波市,百万人民币,49812.595,2223603460,47155.10005,1.584356893,2.632307002,0.94665014,4201.66,181578.35,39393.4,18,,,,,,,,,,4201.66,5583.08,7461.50,11772.46,12914.00,17574.31,26170.14,40116.41,24435.18,59118.42,58089.84,38670.39,52228.92,66370.00,64815.30,93346.46,132180.29,181578.35,
