"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
商品房销售价格:黑龙江:双鸭山市,人民币/平方米,2135.731665,665373.3137,815.7041827,-0.258026041,-1.229179253,0.381931961,853,3383.146028,2539.68254,15,,,,,,,,,,,,,948.00,853.00,,1187.00,1247.00,1592.00,1789.00,2065.00,2539.68,3383.15,3174.19,2619.74,2769.17,2661.47,2621.58,2585.99,
商品房销售价格:黑龙江:大庆市,人民币/平方米,3661.002437,1714882.436,1309.535198,-0.293592311,-1.278998659,0.357698532,1570,5495.120221,4220.111366,15,,,,,,,,,,,,,1570.00,1667.00,,2156.00,2570.00,2626.00,2970.00,3569.00,4220.11,4538.35,4501.60,4232.76,4827.91,5495.12,4600.28,5370.90,
商品房销售价格:黑龙江:伊春市,人民币/平方米,1888.749863,736413.0611,858.1451282,0.364629733,-1.243192738,0.454345567,883,3494.771563,1725.388601,15,,,,,,,,,,,,,883.00,1042.00,,1016.00,932.00,1040.00,1344.00,1551.00,1725.39,1958.11,2384.13,2752.50,2715.46,2657.03,2835.87,3494.77,
商品房销售价格:黑龙江:佳木斯市,人民币/平方米,2448.396132,1060754.19,1029.929216,-0.042663047,-1.641642609,0.420654649,1058,4003.90581,2639.607321,16,,,,,,,,,,,,,1215.00,1183.00,1058.00,1306.00,1452.00,1659.00,1948.00,2508.00,2771.21,3121.66,3148.61,3249.11,3218.76,3584.38,3747.70,4003.91,
商品房销售价格:黑龙江:七台河市,人民币/平方米,2587.082612,907628.3207,952.6952927,-0.048985544,-1.808112104,0.36825082,1323,3919.83466,2664.122137,15,,,,,,,,,,,,,1336.00,1323.00,,1712.00,1467.00,1827.00,1947.00,2031.00,2664.12,3356.15,3647.40,3551.59,3294.87,3574.82,3154.46,3919.83,
商品房销售价格:黑龙江:牡丹江市,人民币/平方米,2778.537321,1030388.099,1015.080341,-0.303100651,-1.825257519,0.365329029,1337,3903.924664,3277.010561,15,,,,,,,,,,,,,1413.00,1337.00,,1650.00,1574.00,1800.00,2100.00,2700.00,3277.01,3370.58,3403.72,3784.22,3827.74,3822.00,3714.85,3903.92,
商品房销售价格:黑龙江:黑河市,人民币/平方米,2395.705558,697576.1836,835.2102631,-0.585402584,-1.359172417,0.348628094,1087,3364.101242,2689.899965,14,,,,,,,,,,,,,,1087.00,,1694.00,1273.00,1113.00,1700.00,2661.00,2650.77,3039.85,2944.84,2842.66,3364.10,3187.70,2718.80,3263.15,
商品房销售价格:黑龙江:绥化市,人民币/平方米,2399.239798,1093530.232,1045.719959,-0.196513237,-1.675404095,0.435854707,729,3591.629252,2396.044499,15,,,,,,,,,,,,,729.00,1227.00,,1187.00,1299.00,1486.00,1716.00,2285.00,2396.04,3036.56,2972.09,3581.02,3509.37,3451.10,3591.63,3521.79,
商品房销售价格:上海,人民币/平方米,9926.690189,49313983.24,7022.391561,0.821759848,-0.49105186,0.707425277,2572,24747.29375,7196.000146,23,,,,,,2572.00,3200.00,3199.00,3493.00,3422.00,3565.00,3866.00,4134.00,5118.00,6639.00,6842.00,7196.00,8361.00,8195.00,12840.00,14400.10,14502.80,14061.34,16419.99,16787.05,20949.38,24747.29,23803.91,
商品房销售价格:江苏:南京市,人民币/平方米,7210.397965,21603821.06,4647.991078,0.969997826,0.025460155,0.644623376,2790,17753.7255,5206.42125,18,,,,,,,,,,2980.00,2790.00,2907.00,2923.00,3148.00,3516.00,4076.95,4477.10,5303.84,5109.00,7185.00,9564.87,9309.85,10106.32,11494.97,,11488.73,17753.73,15652.80,
商品房销售价格:江苏:无锡市,人民币/平方米,6109.999079,7315225.071,2704.667276,-0.215891044,-1.196754372,0.442662469,1814,10607.73714,6878.615398,16,,,,,,,,,,,,,1814.00,2216.00,2534.00,3679.00,4000.00,4573.00,5375.00,5997.00,7764.33,8637.14,8384.92,7870.59,7760.23,7866.21,8680.83,10607.74,
商品房销售价格:江苏:徐州市,人民币/平方米,3497.366149,2883910.037,1698.20789,0.22759017,-1.55638131,0.485567658,1344,6267.950667,3222,15,,,,,,,,,,,,,1344.00,1439.00,1728.00,1854.00,2149.00,2382.00,2674.00,3222.00,3739.95,4473.24,4908.04,5337.17,,5455.83,5486.31,6267.95,
商品房销售价格:江苏:常州市,人民币/平方米,4523.399459,3499731.176,1870.756846,0.130640203,-1.240524335,0.413573212,1874,7339.514763,4177,12,,,,,,,,,,,,,1874.00,2186.00,2477.00,3683.00,3991.00,3944.00,4363.00,4831.00,6041.17,7339.51,6808.97,6742.14,,,,,
商品房销售价格:江苏:苏州市,人民币/平方米,5850.578164,6948271.095,2635.957339,0.14596698,-1.403686105,0.45054647,2157,9620.532164,5419,12,,,,,,,,,,,,,2157.00,2574.00,3203.00,4430.00,4591.00,5146.00,5692.00,6423.00,8243.46,9012.56,9114.38,9620.53,,,,,
商品房销售价格:江苏:南通市,人民币/平方米,3690.069324,2264202.719,1504.726792,0.096065036,-1.511726551,0.407777378,1630,5641.903746,3409,12,,,,,,,,,,,,,1630.00,1826.00,2120.00,2579.00,3212.00,3571.00,3247.00,4378.00,4833.54,5625.43,5641.90,5616.96,,,,,
商品房销售价格:江苏:连云港市,人民币/平方米,3135.874963,1733565.655,1316.649405,0.56719505,-0.447689656,0.419866679,1255,5754.686214,2694,13,,,,,,,,,,,,,1255.00,1678.00,2155.00,2309.00,2335.00,2561.00,2694.00,3111.00,3536.48,4331.16,4399.77,4646.27,,,,5754.69,
商品房销售价格:江苏:淮安市,人民币/平方米,3078.744911,2100312.896,1449.24563,0.667503224,-0.54597455,0.470726115,1249,6002.203644,2669,13,,,,,,,,,,,,,1249.00,1613.00,1881.00,1889.00,2069.00,2483.00,2669.00,2914.00,3629.99,4601.98,4431.02,4591.49,,,,6002.20,
