"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
存款:辽宁:朝阳市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,21370.33,25236.49,28931.40,34720.59,40120.72,49440.79,57954.58,70554.81,88320.94,102416.19,116087.98,124578.93,137750.00,157380.00,170380.00,184750.00
存款:辽宁:葫芦岛市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,27818.56,32435.02,37855.77,47698.80,48699.00,57693.11,68911.91,81117.07,93617.08,107419.71,120578.75,130350.00,,,,
存款:吉林:长春市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,161520.20,183455.85,200763.18,233636.21,255325.24,302446.51,430877.74,498590.29,556822.92,768860.00,780830.98,872338.97,995990.00,1112223.00,1154088.00,1155120.00
存款:吉林:吉林市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,51736.69,58787.17,69489.52,79950.26,84535.38,99060.65,118120.21,133495.05,148796.12,197119.00,197531.22,219570.00,249320.00,269590.00,267610.00,
存款:吉林:四平市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,19164.35,23242.65,27001.89,31109.45,32282.60,40688.57,47451.09,54368.94,63717.77,82089.00,83494.87,92790.00,106660.00,124480.00,132050.00,
存款:吉林:辽源市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,8862.48,11126.90,13637.99,15184.26,15551.04,17313.87,21616.94,25920.21,29674.61,32910.00,37167.75,40212.94,45816.00,,,
存款:吉林:通化市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,20695.52,23495.05,26962.86,30765.19,32029.16,38759.53,47709.16,56148.36,63760.42,80332.00,81596.19,91095.06,105027.00,128710.00,120890.00,
存款:吉林:白山市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,12978.66,14830.48,18164.08,21227.32,22294.97,27025.11,33225.75,37251.10,43339.71,52372.00,54010.58,57044.89,62320.00,87990.00,83515.00,73469.00
存款:吉林:松原市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,13117.64,14733.42,19266.66,24540.83,27478.91,33733.19,40546.78,48197.50,55332.57,72671.00,74580.35,83097.48,,,,
存款:吉林:白城市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,9338.71,11863.80,13879.58,15817.69,16333.82,20832.07,26491.81,30599.79,35796.23,42660.00,50364.16,57443.54,65086.00,73719.00,79960.00,
存款:黑龙江:哈尔滨市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,201522.39,226070.89,263022.69,303694.41,333951.16,397475.09,503114.99,595635.51,661250.06,736033.37,858883.52,901210.00,968860.00,996170.00,1064010.00,1161600.00
存款:黑龙江:齐齐哈尔市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,35885.85,36900.59,42032.76,47358.87,51611.37,63529.14,76720.16,87696.58,98146.19,115171.91,129330.48,143474.47,,,,
存款:黑龙江:鸡西市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,19411.14,22361.93,27630.16,30069.54,31749.14,40531.29,48315.20,55672.16,63710.38,73739.17,79875.08,85570.48,93590.00,103277.13,108310.00,111680.00
存款:黑龙江:鹤岗市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,12048.62,13415.13,14831.67,16174.26,17499.14,21987.11,29037.69,32589.32,38418.43,42410.80,47187.12,48713.43,56580.00,59500.00,,
存款:黑龙江:双鸭山市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,9216.20,13378.83,16522.26,17926.44,20092.39,25358.77,36620.98,42330.14,47909.35,53365.47,56396.22,62270.36,,,,
存款:黑龙江:大庆市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,68469.46,75863.65,90533.00,101705.24,111791.87,120206.38,135642.78,156091.98,171218.45,197055.63,203305.25,204655.64,220960.00,225680.00,230680.00,250360.00
存款:黑龙江:伊春市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,14764.40,15756.34,16987.37,18692.45,19890.59,23709.42,28341.71,33667.49,38562.97,45304.71,48658.77,52172.42,,,,
存款:黑龙江:佳木斯市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,23327.20,25823.16,30748.03,32703.56,36066.53,45333.53,54396.54,63105.40,70412.32,80585.52,92513.54,102292.08,,,,
存款:黑龙江:七台河市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,7966.38,9348.97,11274.32,12872.18,14038.28,18255.84,22145.96,25775.80,29525.71,33820.47,34733.09,35321.26,37296.00,41061.00,44686.00,
存款:黑龙江:牡丹江市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,36560.40,40085.72,45178.40,50411.68,52879.27,61379.46,71527.62,81751.23,93215.11,103420.62,112004.73,120541.64,130400.00,,,
存款:黑龙江:黑河市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,13044.63,14029.51,13928.14,19583.19,22345.28,27601.06,33395.95,38300.21,44454.83,50083.35,54422.38,59611.93,,,,
存款:黑龙江:绥化市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,21890.02,23475.88,26778.47,29243.50,31394.41,40255.00,47154.84,55429.36,64493.67,76389.17,85342.35,104392.00,,,,
存款:上海,百万人民币,,,,,,,,,,,,,,,,467509.00,574598.00,721945.00,748520.00,848006.00,934983.00,1124790.00,1403577.00,1731838.00,1999405.00,2332086.00,2645488.00,3031553.00,3558907.00,4462027.00,5219004.00,5818648.07,6355525.11,6925632.05,7388245.14,10376060.00,11051096.00,11246174.00,12111232.95
存款:江苏:南京市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,362255.19,423401.12,508331.72,580221.00,699599.58,839288.12,1088691.94,1264952.00,1424199.00,1654043.46,1841789.78,2073339.00,2647169.00,2835589.00,3076463.00,3452486.00
存款:江苏:无锡市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,215685.00,258516.00,322239.00,377206.00,427659.16,532181.45,721669.15,854505.15,972244.00,1074037.77,1164195.61,1231501.00,1318125.00,1461200.00,1514130.00,1605679.00
存款:江苏:徐州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,72772.02,84145.73,101089.40,119372.00,140382.44,171914.38,217262.38,263218.73,300376.00,340300.38,392049.74,428646.17,474701.00,549531.00,639638.00,710739.00
存款:江苏:常州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,117056.00,136222.00,164961.00,197401.00,226384.00,281942.00,376591.00,455047.39,502088.00,578988.43,653833.42,675857.45,743868.00,854082.00,987337.00,979855.00
存款:江苏:苏州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,314978.94,381452.81,473005.32,579795.00,706883.13,834079.21,1095024.60,1357034.95,1600417.00,1879605.74,2123758.75,2142819.58,2365900.00,2772755.00,2854777.00,
存款:江苏:南通市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,127929.32,152339.91,180001.55,211395.00,238483.48,296612.82,392646.55,485784.64,561460.00,647800.65,754212.30,833953.77,984340.00,1133014.00,1171729.00,1221117.00
存款:江苏:连云港市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,29355.44,35791.96,42682.80,50611.00,63393.08,79683.93,100796.41,124380.78,138869.00,153803.61,170993.44,188731.00,216392.00,255548.00,297698.00,
存款:江苏:淮安市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,29731.27,35535.51,42726.73,51137.00,58997.59,69453.27,93331.39,119079.53,133501.23,152141.07,173707.01,203686.00,235691.00,312181.00,348522.00,
存款:江苏:盐城市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,62383.25,73504.16,85085.49,93973.00,107165.28,130210.38,164524.67,199598.00,233619.00,271687.34,321999.00,372100.00,441480.00,525395.00,598074.00,617728.00
存款:江苏:扬州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,72097.90,83973.61,95269.88,108526.00,125384.40,155191.00,206713.00,243054.99,286065.00,336522.40,388839.01,429675.00,471940.00,536155.00,570087.00,599755.00
存款:江苏:镇江市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,58088.04,67650.71,80395.51,92820.00,102358.80,126271.23,178529.49,220321.68,247445.00,290348.15,334673.28,353627.27,405671.00,470599.00,487750.00,504297.00
存款:江苏:泰州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,59633.40,70114.56,82490.12,95387.00,112694.00,140212.00,188539.43,232031.90,263269.00,307617.08,361256.33,395583.66,444170.00,527562.00,573230.00,611938.00
存款:江苏:宿迁市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,15868.42,19257.53,22936.27,28199.00,35570.70,44746.95,60709.47,81059.11,100323.00,124003.86,148898.98,159895.81,181981.00,220743.00,251496.00,274669.00
存款:浙江:杭州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,443953.00,570720.00,674872.00,768302.00,915446.00,1114624.00,1428421.04,1708435.48,1824435.00,2014877.00,2217471.00,2395004.62,2986383.00,3311082.00,3648324.00,3981050.00
存款:浙江:宁波市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,262903.46,309179.54,379193.62,457348.11,530401.49,621046.91,824143.06,975551.58,1065926.54,1198049.84,1316460.45,1330740.57,1617530.00,1694229.00,1814915.00,1914997.00
存款:浙江:温州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,175632.83,193508.65,226813.40,281881.37,337616.84,412178.55,535243.71,649759.17,754560.00,774494.00,777116.00,793715.57,957746.00,1021331.00,1087549.00,1173666.00
存款:浙江:嘉兴市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,102794.78,116604.32,134174.70,158327.90,179609.30,218624.00,290421.25,359082.26,407517.83,459734.00,507269.00,551386.54,595700.00,663022.00,734470.81,810432.26
存款:浙江:湖州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,48641.62,52738.67,59859.09,70620.91,80128.36,100180.04,139768.68,180561.48,210205.00,228566.00,257793.00,281371.00,308970.00,355242.00,404535.00,458941.00
存款:浙江:绍兴市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,128017.78,152349.95,186488.62,226716.25,263926.86,323221.92,413954.07,494832.17,551014.00,592360.00,646173.00,666673.00,694891.00,743353.00,783728.00,843653.00
存款:浙江:金华市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,111990.13,133716.19,153698.64,175649.93,205970.89,255209.28,322083.01,398699.00,474669.00,532439.00,616156.00,663834.00,689080.00,761892.00,794757.00,869628.00
存款:浙江:衢州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,30857.08,32579.32,37323.57,42995.60,48945.85,57452.98,75508.94,95311.87,115722.80,129951.67,149271.40,163561.66,173809.00,193883.00,213504.00,244022.00
存款:浙江:舟山市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,25936.58,30982.07,36348.79,45150.15,56171.42,73083.82,94393.28,114325.35,131497.00,138997.12,149711.00,162405.23,179108.00,191584.00,200848.00,203410.00
