"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
房地产开发投资:住宅:黑龙江:双鸭山市,百万人民币,720.0604545,394196.2044,627.8504634,1.075165398,0.225357648,0.87194132,60.13,2287.38,503.295,22,,,,,,,196.56,174.47,179.77,317.85,330.24,567.88,60.13,103.57,303.51,223.52,347.31,578.45,438.71,691.18,1721.77,2287.38,1613.69,1573.18,1179.84,1122.19,625.66,1204.47,
房地产开发投资:住宅:黑龙江:大庆市,百万人民币,5482.020909,31077845.17,5574.750682,1.50088794,1.486846141,1.016915253,203.81,19516.43,3179.05,22,,,,,,,792.69,1191.26,2877.57,1504.82,2331.66,2273.45,930.50,203.81,1063.06,2172.47,4819.25,5056.42,6720.03,7613.79,8468.80,13432.43,18498.62,19516.43,11078.52,3306.10,3700.78,3052.00,
房地产开发投资:住宅:黑龙江:伊春市,百万人民币,511.7340909,187865.2557,433.4342577,1.490554314,1.916664443,0.846991173,60.86,1683.64,392.86,22,,,,,,,60.86,122.50,133.52,300.21,406.98,455.18,264.86,261.98,335.67,187.63,100.54,160.94,414.93,728.31,1010.34,1683.64,1480.37,897.36,690.26,660.11,378.74,523.22,
房地产开发投资:住宅:黑龙江:佳木斯市,百万人民币,2011.063636,3692871.024,1921.684424,0.788549425,-0.885456426,0.955556248,171.79,5942.16,1059.95,22,,,,,,,171.79,187.19,352.70,453.14,588.04,1088.06,610.26,390.49,388.06,243.39,918.59,1031.84,1344.59,1989.66,4683.87,5345.11,5942.16,4600.99,2957.25,3993.93,3849.91,3112.38,
房地产开发投资:住宅:黑龙江:七台河市,百万人民币,427.2528571,140050.1645,374.2327678,1.058508153,0.151683314,0.875904658,29.34,1313.35,297.84,21,,,,,,,74.64,123.03,100.37,130.29,63.55,142.06,259.68,288.88,297.84,338.70,863.20,787.71,731.59,,492.98,1313.35,1137.70,856.95,361.72,213.45,29.34,365.28,
房地产开发投资:住宅:黑龙江:牡丹江市,百万人民币,2769.529091,6964263.773,2638.989157,0.935486102,-0.48124291,0.952865657,294.68,8321.64,1569.18,22,,,,,,,590.59,326.45,294.68,819.28,1518.17,1620.19,501.65,450.95,576.38,693.53,777.75,1239.32,2225.67,3137.71,4417.00,6921.85,6942.91,7444.29,8321.64,5018.77,3654.02,3436.84,
房地产开发投资:住宅:黑龙江:黑河市,百万人民币,917.0990909,1226149.357,1107.316286,1.855855003,3.726274688,1.207411824,67.57,4423.33,444.52,22,,,,,,,129.49,487.50,740.46,348.61,401.54,325.57,85.62,72.68,69.82,102.87,109.62,67.57,141.28,2715.17,2341.54,4423.33,1451.75,1279.88,1943.15,1300.85,717.03,920.85,
房地产开发投资:住宅:黑龙江:绥化市,百万人民币,2907.537778,9304818.608,3050.380076,0.96422621,-0.372609494,1.049128269,84.58,9139.94,1754.89,18,,,,,,,,,,,805.88,486.08,517.97,84.58,278.08,349.38,489.97,545.90,663.53,2947.07,8450.28,9139.94,7556.20,4260.40,5978.05,2820.79,2703.90,4257.68,
房地产开发投资:住宅:上海,百万人民币,96317.6813,3547648551,59562.14025,0.534586481,-0.878189323,0.618392588,17069.38,215240,84363,23,,,,,,28038.00,35601.00,17069.38,32066.00,32449.09,40881.59,43917.09,56775.98,67628.25,90066.60,92083.65,83562.83,83753.05,84363.00,91868.47,122982.94,139874.75,145194.46,161551.00,172464.67,181331.87,196543.00,215240.00,
房地产开发投资:住宅:江苏:南京市,百万人民币,49498.42522,2459588286,49594.23642,1.127308359,0.266838415,1.001935641,934.34,157464,31664.63,23,,,,,,,934.34,6792.51,2194.40,6219.12,6657.67,7553.66,9657.14,12933.20,21409.14,20902.39,25363.88,31664.63,41002.61,43941.00,57062.14,63752.20,66094.32,72912.75,79627.00,108096.99,139276.27,156952.42,157464.00
