"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
国内生产总值:人均:辽宁:沈阳市,人民币,26762.85583,895178891.3,29919.54029,0.966602376,-0.621361866,1.11795021,819,87734,13025,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,819.00,914.00,1013.00,958.00,1054.00,1312.00,1558.00,1824.00,2024.00,2452.00,3041.00,3368.00,3587.00,3856.00,4923.00,6373.00,8252.00,10017.00,11032.00,12021.00,13025.00,13765.00,14911.00,16257.00,18266.00,20575.00,24156.00,28241.00,33798.00,41767.00,49166.00,54654.00,62357.00,72648.00,80480.09,86850.00,85816.00,87734.00,66893.00,69754.00,75766.00
国内生产总值:人均:辽宁:大连市,人民币,71581.83058,1116970483,33421.10835,-0.184633075,-1.680909015,0.466893737,22342.69,110682,74242.5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22342.69,25276.00,29206.00,34975.00,38196.00,42579.00,51630.00,63198.00,70781.00,77704.00,91295.00,102922.26,110600.00,109939.00,110682.00,97470.00,100033.00,109644.00
国内生产总值:人均:辽宁:鞍山市,人民币,45406.65588,340593684.9,18455.18044,0.088060201,-1.429553972,0.406442185,18636.15,72606,44790,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18636.15,20609.00,22909.00,28900.00,29338.00,32644.00,38387.00,45830.00,49301.00,58426.00,68224.00,69211.00,72606.00,66860.00,64710.00,40532.00,44790.00,
国内生产总值:人均:辽宁:抚顺市,人民币,35381.36471,354136759.6,18818.52172,0.197413458,-1.5520896,0.53187665,11391.2,63922,31343,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11391.20,12362.00,13912.00,16637.00,17372.00,20426.00,24451.00,29645.00,31343.00,41810.00,52245.00,58512.00,63922.00,61183.00,58597.00,41741.00,45934.00,
国内生产总值:人均:辽宁:本溪市,人民币,40921.58778,405876084.7,20146.36654,-0.048649878,-1.34326558,0.492316345,11311.58,69118,44498,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11311.58,12362.00,14985.00,18752.00,21922.00,25619.00,31066.00,39199.00,44251.00,50612.00,60552.00,64459.00,69118.00,67879.00,67656.00,44745.00,46050.00,46050.00
国内生产总值:人均:辽宁:丹东市,人民币,26138.80611,166104729.5,12888.16238,-0.04421666,-1.454781285,0.493066222,7742.21,45596,27463.5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7742.21,8403.00,9655.00,12050.00,13502.00,15893.00,19119.00,23223.00,25034.00,29893.00,36841.00,42171.00,45596.00,42291.30,40850.00,31223.00,32819.00,34193.00
国内生产总值:人均:辽宁:锦州市,人民币,25358.84981,185092966.1,13604.88758,0.054731385,-1.615966562,0.536494663,7055.2,44264,23447,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7055.20,7907.00,9167.00,11153.00,12397.00,14906.00,17817.00,22287.00,23447.00,29264.00,35784.00,40002.25,43497.00,44264.00,43207.00,33692.00,35254.00,
国内生产总值:人均:辽宁:营口市,人民币,36573.91083,404559063.2,20113.65365,-0.090936069,-1.650008776,0.54994539,8480.81,63234,37778,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8480.81,9549.00,11074.00,13867.00,16487.00,19810.00,24597.00,30177.00,34104.00,41452.00,50309.00,56582.59,61937.00,63234.00,61925.00,47358.00,52092.00,55295.00
国内生产总值:人均:辽宁:阜新市,人民币,17341.0177,121110319.8,11005.01339,0.262197548,-1.543266386,0.634623272,3656.59,34259,14967,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3656.59,4420.00,5339.00,6590.00,7398.00,8227.00,10025.00,12134.00,14967.00,20819.00,26480.00,31048.71,34259.00,33882.00,29491.00,22956.00,23105.00,
国内生产总值:人均:辽宁:辽阳市,人民币,34180.24003,277935224.5,16671.3894,-0.03824204,-1.450890444,0.487749337,9947.74,58236,34648,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9947.74,11099.00,13104.00,15902.00,18135.00,21562.00,25564.00,30897.00,33151.00,39686.00,48594.00,53876.58,58236.00,54800.00,55674.00,36145.00,41449.00,47422.00
