"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
企业存款:江苏:常州市,百万人民币,133103.3486,15466736186,124365.3335,1.239137306,-0.029453559,0.934351651,29580,371769.9577,72644.5,12,,,,,,,,,,,,,,,,,,,,,,,,29580.00,39880.00,43400.00,47390.00,56380.00,67568.00,77721.00,116808.00,128602.00,270940.00,,347201.23,371769.96,,
企业存款:江苏:苏州市,百万人民币,509471.0728,2.28325E+11,477833.6437,1.204373836,0.02330791,0.937901422,80220,1438600.203,314439.405,12,,,,,,,,,,,,,,,,,,,,,,,,80220.00,122020.00,150930.00,173340.00,219830.00,300976.81,327902.00,472415.00,496815.00,1006726.00,,1323877.86,1438600.20,,
企业存款:江苏:南通市,百万人民币,133232.3986,14498137488,120408.2119,0.973236204,-0.666553859,0.903745734,24440,364387.3222,68780,13,,,,,,,,,,,,,,,,,,,,,,,,24440.00,31450.00,37650.00,42730.00,52060.00,62740.25,68780.00,105798.00,113604.00,242716.00,267917.37,317748.24,364387.32,,
企业存款:江苏:连云港市,百万人民币,35798.70117,954229037.1,30890.59788,0.849033546,-1.223954395,0.862897168,7600,87443.30901,21286,13,,,,,,,,,,,,,,,,,,,,,,,,7600.00,9120.00,11070.00,12450.00,14210.00,17829.14,21286.00,27058.00,28120.00,72338.00,75675.00,81183.67,87443.31,,
企业存款:江苏:淮安市,百万人民币,30980.01548,900187208.2,30003.11997,1.347438519,0.479489715,0.968466913,6390,94646.47519,16385.61,12,,,,,,,,,,,,,,,,,,,,,,,,6390.00,8380.00,9750.00,11110.00,13700.00,15593.22,17178.00,26976.00,28289.09,62353.00,,77394.40,94646.48,,
企业存款:江苏:盐城市,百万人民币,49586.63941,2656903091,51545.15585,1.434305418,0.609374636,1.039496858,10490,158611.7724,24960.71,12,,,,,,,,,,,,,,,,,,,,,,,,10490.00,13820.00,15740.00,16840.00,19090.00,23213.42,26708.00,36136.00,38614.00,101561.00,,134215.48,158611.77,,
企业存款:江苏:扬州市,百万人民币,71393.88579,4408142025,66393.84027,1.339783643,0.401118755,0.929965354,17650,207654.0997,41777.595,12,,,,,,,,,,,,,,,,,,,,,,,,17650.00,22010.00,25230.00,25260.00,29140.00,38541.19,45014.00,64471.00,62796.00,135655.00,,183305.34,207654.10,,
企业存款:江苏:镇江市,百万人民币,71998.99374,4112767497,64130.86229,0.934166035,-0.871986975,0.890718869,13630,188537.4971,36221,13,,,,,,,,,,,,,,,,,,,,,,,,13630.00,18740.00,22070.00,23690.00,27950.00,33894.74,36221.00,57286.00,60442.00,130746.00,150280.00,172499.68,188537.50,,
企业存款:江苏:泰州市,百万人民币,64165.04183,4170895158,64582.46789,1.326497836,0.357078437,1.006505506,11950,196551.8798,33986,12,,,,,,,,,,,,,,,,,,,,,,,,11950.00,15940.00,18250.00,19910.00,23970.00,31280.00,36692.00,57194.00,58321.00,127843.00,,172078.62,196551.88,,
企业存款:江苏:宿迁市,百万人民币,22412.27742,739544178.5,27194.56156,1.407115172,0.404037127,1.213377876,3140,76558.72817,8574.025,12,,,,,,,,,,,,,,,,,,,,,,,,3140.00,3780.00,4580.00,4800.00,5830.00,7779.05,9369.00,14510.00,17876.00,49552.00,,71172.55,76558.73,,
