"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
工业总产值:辽宁:沈阳市,百万人民币,531556.274,2.33309E+11,483020.927,0.603433399,-1.143544827,0.908691987,58267.33,1375914.51,403845.88,20,,,,,,,,,,,,,,,,,,,61423.59,65684.99,,58267.33,71428.22,75718.67,82832.67,106436.12,149340.04,219524.98,329089.66,478602.10,642431.03,763709.98,961252.55,1088064.41,1270232.72,1373517.80,1375914.51,923933.77,533720.34,,
工业总产值:辽宁:大连市,百万人民币,463621.804,1.33374E+11,365204.3696,0.568112929,-1.023770138,0.787720436,70888.35,1152157,380681.96,20,,,,,,,,,,,,,,,,,,,70888.35,80672.14,,84263.85,109915.52,110392.75,125048.57,154686.41,201822.83,256279.70,343746.22,417617.70,508206.72,633019.08,770183.55,826474.80,1035081.93,1152157.00,1065199.03,699840.59,626939.34,,
工业总产值:辽宁:鞍山市,百万人民币,150012.286,11465655274,107077.8001,0.67733663,-0.938522355,0.713793536,41817.68,359967.21,110441.43,20,,,,,,,,,,,,,,,,,,,41817.68,43862.09,,42214.12,47513.77,50437.88,52603.63,63367.64,81863.23,94786.59,106191.07,132526.81,180459.61,204930.72,243927.52,265982.60,298594.00,335359.00,359967.21,239148.76,114691.79,,
工业总产值:辽宁:抚顺市,百万人民币,106179.25,6945623844,83340.40943,1.094480475,-0.059100866,0.784902977,27581.3,279483.64,81754.775,20,,,,,,,,,,,,,,,,,,,30997.85,33133.65,,27581.30,35700.63,35763.70,36306.96,43128.19,58187.08,69766.91,83582.00,97921.61,115513.07,120335.41,165532.66,210109.22,243212.57,271377.58,279483.64,86023.42,79927.55,,
工业总产值:辽宁:本溪市,百万人民币,93716.6765,6550508442,80935.21138,0.81531671,-0.841414962,0.863615894,15541.56,243069.59,62318.84,20,,,,,,,,,,,,,,,,,,,16498.75,17000.02,,15541.56,18526.09,21820.79,24153.35,35445.47,47361.32,48915.28,57358.28,67279.40,91616.14,110009.94,151135.34,193080.67,220286.81,241211.30,243069.59,179586.02,74437.41,,
工业总产值:辽宁:丹东市,百万人民币,49745.236,1975782322,44449.77303,0.968968369,-0.45838183,0.893548339,9415.73,136142.5,36264.105,20,,,,,,,,,,,,,,,,,,,12148.81,11914.89,,9415.73,10381.55,10897.67,12107.34,14354.66,18192.88,23655.32,31234.67,41293.54,56273.84,70809.24,86508.65,103793.10,128783.04,136142.50,131491.34,42849.43,42656.52,,
工业总产值:辽宁:锦州市,百万人民币,103848.165,9560638647,97778.51833,0.851300774,-0.811843394,0.941552683,13592.05,289819.41,63355.54,20,,,,,,,,,,,,,,,,,,,15575.75,16490.39,,13592.05,18124.25,18764.00,21144.37,26652.35,34644.42,49335.84,64889.89,80536.19,102740.44,123625.83,167204.57,210757.99,244902.74,282238.97,289819.41,234102.66,61821.19,,
工业总产值:辽宁:营口市,百万人民币,116273.075,10562704443,102775.0186,0.552877809,-1.331964433,0.88391073,12454.21,294459.81,85853.57,20,,,,,,,,,,,,,,,,,,,12454.21,13733.41,,13653.82,16120.42,18627.58,22341.85,29404.17,41139.54,54019.00,73018.70,98688.44,123520.81,168405.52,223327.15,241770.32,264649.26,294459.81,278263.43,222314.66,115549.40,,
工业总产值:辽宁:阜新市,百万人民币,29611.5895,833489150,28870.21216,1.108877237,-0.086348122,0.974963271,4557.61,89693.23,17343.075,20,,,,,,,,,,,,,,,,,,,5994.00,6583.50,,4557.61,5273.29,5421.44,6896.97,8250.14,10092.55,11606.92,15302.92,19383.23,24174.25,31375.25,44777.08,62149.70,77352.23,89693.23,87456.00,49368.27,26523.21,,
工业总产值:辽宁:辽阳市,百万人民币,90041.812,5143603448,71718.91973,0.542456449,-1.245158755,0.796506847,13137.62,210954.44,68506.725,20,,,,,,,,,,,,,,,,,,,13137.62,15222.71,,15884.96,19834.64,20936.49,24212.51,32453.77,39926.06,51747.90,68614.14,89176.93,119746.69,118231.13,161252.36,192172.90,210954.44,209674.70,189320.02,139936.96,68399.31,,
